nama_bapak,nama_ibu,nomor_rumah,jarak_rumah
Kenes Prayitna Firgantoro M.Pd,Padma Namaga,5803,60960
Kenes Sihombing,Nadine Diana Rahimah S.Pt,5804,60966
Kenes Sinaga M.Farm,Farhunnisa Utami,5805,60969
Kenes Siregar S.E.I,Humaira Kusmawati,5806,60979
Kenes Waluyo,Zelaya Ellis Usada,5807,60980
Kenzie Adhiarja Setiawan,Dewi Hartati,5808,60981
Kenzie Anggriawan,Almira Ina Nasyiah,5809,60990
Kenzie Artanto Siregar,Pia Azalea Laksita S.Pd,5810,61008
Kenzie Bakidin Sinaga,Winda Utami M.Kom.,5811,61024
Kenzie Cahyo Manullang S.E.I,Maya Elma Usamah S.Pd,5812,61040
Kenzie Dabukke,Salwa Purwanti,5813,61055
Kenzie Habibi,Rahmi Salwa Hariyah M.Ak,5814,61074
Kenzie Harsaya Haryanto M.TI.,Anastasia Raisa Wahyuni,5815,61082
Kenzie Jumadi Mahendra,Azalea Widya Aryani S.Ked,5816,61100
Kenzie Kairav Waluyo S.Ked,Dinda Nasyiah,5817,61118
Kenzie Legawa Rajata S.E.I,Almira Yolanda,5818,61119
Kenzie Narpati,Aurora Prastuti,5819,61129
Kenzie Prabowo,Anastasia Victoria Permata,5820,61144
Kenzie Pranowo,Winda Widiastuti S.IP,5821,61157
Kenzie Prasasta,Zizi Mulyani,5822,61159
Kenzie Saefullah,Rachel Aisyah Zulaika,5823,61160
Kenzie Siregar,Raisa Susanti,5824,61163
Kenzie Sitompul,Ina Purnawati,5825,61169
Kenzie Tamba S.Pd,Tari Pertiwi,5826,61171
Kenzie Tamba S.Sos,Unjani Prastuti,5827,61183
Kenzie Thamrin,Kania Hassanah,5828,61199
Kenzie Utama,Hilda Uchita Fujiati S.Gz,5829,61207
Kenzie Vinsen Winarno,Aurora Paris Utami S.T.,5830,61215
Kenzie Wahyudin,Ratih Usada S.Psi,5831,61216
Koko Firmansyah,Gasti Rahimah,5832,61223
Koko Imam Latupono,Vanya Eli Andriani,5833,61235
Koko Irawan,Ella Puspita,5834,61246
Koko Iswahyudi,Ulya Winarsih,5835,61263
Koko Lanang Gunarto S.Kom,Nurul Mandasari,5836,61279
Koko Maheswara,Ulya Mila Yuliarti,5837,61287
Koko Rajata,Puti Padmasari S.E.,5838,61299
Koko Sirait,Karen Susanti,5839,61300
Koko Sitompul,Paramita Tania Wahyuni S.Psi,5840,61314
Koko Tamba S.IP,Farah Laksmiwati,5841,61318
Koko Tampubolon,Lalita Usada,5842,61320
Koko Utama,Diana Handayani,5843,61332
Koko Waluyo,Victoria Hasna Farida,5844,61336
Kuncara Ardianto,Zahra Alika Mulyani,5845,61354
Kuncara Gunawan,Yunita Sari Suartini S.Sos,5846,61356
Kuncara Halim S.IP,Maya Mardhiyah,5847,61362
Kuncara Irwan Kusumo M.Pd,Salsabila Hartati S.Pt,5848,61378
Kuncara Jail Firmansyah,Juli Kiandra Kusmawati S.E.,5849,61392
Kuncara Marbun S.Sos,Ciaobella Yunita Pudjiastuti S.Kom,5850,61396
Kuncara Megantara,Hesti Anastasia Wastuti S.IP,5851,61409
Kuncara Napitupulu M.Farm,Nadia Purnawati,5852,61423
Kuncara Opan Hakim,Rika Lailasari,5853,61442
Kuncara Pangestu,Kamaria Nurdiyanti,5854,61447
Kuncara Simbolon,Salimah Fitria Nurdiyanti S.Kom,5855,61457
Kuncara Sirait,Safina Prastuti,5856,61460
Kuncara Soleh Setiawan S.Farm,Kasiyah Oktaviani S.Sos,5857,61463
Kuncara Surya Prayoga S.Farm,Yunita Laksita,5858,61468
Kuncara Taufan Wibowo,Cindy Rahimah,5859,61479
Kuncara Waluyo,Karimah Padmi Andriani S.IP,5860,61491
Kunthara Agus Adriansyah M.Kom.,Jane Nasyidah S.H.,5861,61509
Kunthara Ardianto,Raina Puspasari,5862,61529
Kunthara Ardianto S.Sos,Ulya Diah Usada M.Ak,5863,61544
Kunthara Cecep Nababan M.Farm,Mutia Lala Purwanti,5864,61561
Kunthara Gaduh Hardiansyah,Sabrina Purwanti S.H.,5865,61562
Kunthara Hairyanto Nashiruddin,Rahmi Widiastuti,5866,61570
Kunthara Irawan,Paris Puspita,5867,61586
Kunthara Joko Narpati,Hilda Farida S.Farm,5868,61605
Kunthara Kurniawan,Novi Nuraini,5869,61608
Kunthara Kusumo,Padmi Carla Nasyidah,5870,61626
Kunthara Kuswoyo,Pia Sudiati,5871,61643
Kunthara Lazuardi M.TI.,Paulin Betania Wulandari S.Kom,5872,61648
Kunthara Maheswara S.E.,Ella Agustina,5873,61659
Kunthara Makuta Hardiansyah,Kezia Wulandari,5874,61666
Kunthara Nainggolan,Genta Hassanah,5875,61683
Kunthara Nashiruddin,Fathonah Anggraini S.IP,5876,61702
Kunthara Nugroho,Oliva Nurdiyanti,5877,61718
Kunthara Nugroho M.Ak,Lidya Agnes Hasanah M.TI.,5878,61738
Kunthara Pangestu,Winda Utami,5879,61753
Kunthara Pradana M.Farm,Aisyah Yulianti,5880,61767
Kunthara Rajasa S.E.I,Uchita Wulandari,5881,61777
Kunthara Reksa Mangunsong,Maria Pratiwi S.Psi,5882,61779
Kunthara Samosir S.T.,Agnes Lailasari S.H.,5883,61790
Kunthara Saragih S.I.Kom,Kamila Nuraini M.Farm,5884,61805
Kunthara Sihombing,Winda Utami M.TI.,5885,61822
Kunthara Sitorus,Bella Suryatmi S.E.I,5886,61836
Kunthara Wahyudin S.Pd,Hana Winda Yuniar S.E.,5887,61852
Kurnia Ajiono Gunarto S.Kom,Hafshah Kartika Haryanti,5888,61868
Kurnia Anggriawan,Gina Iriana Susanti S.Psi,5889,61888
Kurnia Eman Budiyanto M.TI.,Paulin Anggraini,5890,61900
Kurnia Embuh Lazuardi,Tiara Nasyidah S.Ked,5891,61911
Kurnia Gamblang Sihombing S.Sos,Humaira Maryati,5892,61923
Kurnia Hakim,Zahra Lestari M.TI.,5893,61937
Kurnia Hidayanto S.I.Kom,Karimah Unjani Rahayu,5894,61943
Kurnia Megantara,Ira Farida,5895,61949
Kurnia Mustofa S.H.,Kiandra Rahimah,5896,61969
Kurnia Oskar Mansur,Cindy Patricia Astuti S.Sos,5897,61985
Kurnia Pangestu,Azalea Andriani,5898,62000
Kurnia Pradipta,Nadia Haryanti S.I.Kom,5899,62010
Kurnia Samosir,Jessica Gilda Hariyah M.M.,5900,62022
Kurnia Saptono S.Pd,Jessica Susanti,5901,62038
Kurnia Saragih,Oni Nuraini,5902,62055
Kurnia Umar Manullang,Farhunnisa Suryatmi,5903,62072
Kurnia Uwais S.Pt,Nadia Palastri,5904,62078
Kurnia Wacana,Amelia Agustina,5905,62085
Kurnia Warsita Pranowo,Keisha Safitri M.TI.,5906,62095
Kurnia Winarno,Zelaya Aryani,5907,62097
Kusuma Adika Marpaung S.Pd,Sari Puspasari S.E.,5908,62111
Kusuma Ardianto M.M.,Maria Hastuti S.Kom,5909,62114
Kusuma Dabukke,Victoria Humaira Puspita M.Kom.,5910,62125
Kusuma Gamani Sihombing,Farah Sudiati S.Psi,5911,62131
Kusuma Kemba Iswahyudi S.E.,Ina Eli Riyanti,5912,62142
Kusuma Kusumo,Citra Wahyuni,5913,62147
Kusuma Kuswoyo,Elma Agustina,5914,62151
Kusuma Mangunsong,Ayu Lailasari S.I.Kom,5915,62156
Kusuma Marpaung,Kania Anggraini S.Kom,5916,62176
Kusuma Nainggolan,Sabrina Lestari,5917,62195
Kusuma Napitupulu,Jelita Farah Purnawati,5918,62201
Kusuma Pandu Nainggolan,Farhunnisa Puspasari S.Farm,5919,62218
Kusuma Pangestu,Kayla Hassanah,5920,62221
Kusuma Prabu Iswahyudi S.IP,Kezia Shania Lailasari S.H.,5921,62234
Kusuma Prasetya,Fitriani Safitri M.M.,5922,62249
Kusuma Rafi Hutasoit,Almira Pudjiastuti,5923,62258
Kusuma Ramadan S.H.,Titi Lestari S.Gz,5924,62269
Kusuma Santoso,Zelaya Widiastuti,5925,62273
Kusuma Saputra,Michelle Suartini S.Psi,5926,62282
Kusuma Saputra S.T.,Lalita Widiastuti S.Psi,5927,62288
Kusuma Sirait,Jasmin Lala Yolanda,5928,62289
Kusuma Sirait S.Pd,Anastasia Lala Suartini S.Psi,5929,62293
Kusuma Siregar S.H.,Rina Ana Anggraini M.Farm,5930,62296
Kusuma Suryono,Ami Nasyidah,5931,62306
Kusuma Tampubolon,Paris Suartini,5932,62324
Labuh Adriansyah,Syahrini Hasanah,5933,62336
Labuh Bagus Ramadan M.M.,Vivi Cici Permata S.Ked,5934,62352
Labuh Bagus Sihombing,Paris Raina Safitri M.TI.,5935,62358
Labuh Budiman,Putri Susanti S.Pt,5936,62362
Labuh Caturangga Prasasta S.Ked,Julia Ratna Yuliarti,5937,62366
Labuh Daruna Tarihoran,Nadine Kuswandari,5938,62368
Labuh Eka Najmudin M.Farm,Rina Permata S.Farm,5939,62387
Labuh Harsana Sitompul,Lalita Cindy Nasyidah M.Farm,5940,62406
Labuh Hartaka Simbolon S.Gz,Dewi Purwanti,5941,62419
Labuh Hidayat,Cinta Najwa Usada S.Pt,5942,62423
Labuh Maheswara,Clara Yulianti,5943,62429
Labuh Marsudi Damanik,Jane Ciaobella Zulaika,5944,62439
Labuh Megantara,Ida Mulyani,5945,62453
Labuh Narpati M.Farm,Sakura Yolanda,5946,62457
Labuh Nashiruddin,Padmi Purnawati,5947,62474
Labuh Nugroho M.M.,Elma Rahayu,5948,62488
Labuh Prayoga,Alika Widiastuti S.E.I,5949,62506
Labuh Sakti Sihombing,Usyi Pratiwi S.Ked,5950,62511
Labuh Samosir S.IP,Keisha Maria Lailasari,5951,62526
Labuh Saragih,Rachel Agustina,5952,62542
Labuh Simanjuntak,Rina Rini Prastuti S.I.Kom,5953,62555
Labuh Sirait,Ika Karen Puspasari S.H.,5954,62574
Labuh Siregar,Patricia Wastuti,5955,62582
Labuh Tampubolon,Kezia Tari Suryatmi,5956,62594
Labuh Usman Wasita,Almira Kusmawati M.Ak,5957,62604
Labuh Viktor Ramadan,Zulaikha Cici Astuti,5958,62608
Labuh Wahyudin S.T.,Wulan Purnawati S.Farm,5959,62627
Laksana Aditya Saragih,Anita Raina Lailasari S.E.I,5960,62645
Laksana Budiyanto,Agnes Utami M.Kom.,5961,62658
Laksana Cahya Siregar,Sari Rahayu,5962,62670
Laksana Cemplunk Halim M.Kom.,Hana Oktaviani,5963,62689
Laksana Dongoran S.Psi,Nabila Wijayanti M.Pd,5964,62690
Laksana Edi Hutapea,Titi Nurul Padmasari,5965,62700
Laksana Firmansyah,Zahra Farida M.TI.,5966,62706
Laksana Hidayanto,Puspa Winarsih,5967,62720
Laksana Hutagalung,Ulya Septi Yuniar S.Farm,5968,62728
Laksana Jagaraga Hutapea M.Farm,Cinta Prastuti S.Gz,5969,62729
Laksana Jail Prasetyo,Nova Ina Padmasari S.Sos,5970,62736
Laksana Kurnia Siregar,Gasti Salwa Purwanti M.TI.,5971,62741
Laksana Lamar Thamrin M.M.,Ami Kasiyah Nasyiah,5972,62752
Laksana Lanang Mahendra S.Gz,Ami Yolanda M.Pd,5973,62760
Laksana Lutfan Firmansyah,Keisha Nuraini,5974,62763
Laksana Luwar Wibowo S.Sos,Karimah Laksita,5975,62777
Laksana Marbun,Oliva Vanya Sudiati,5976,62795
Laksana Nainggolan S.E.I,Kartika Mardhiyah,5977,62798
Laksana Pratama,Gina Cinthia Wahyuni M.TI.,5978,62809
Laksana Reksa Mustofa,Elisa Laksmiwati,5979,62823
Laksana Saefullah,Syahrini Yuliarti S.E.,5980,62826
Laksana Saputra M.Kom.,Tania Yulianti,5981,62831
Laksana Siregar,Elisa Umi Nasyidah,5982,62836
Laksana Slamet Suryono,Vivi Nasyidah,5983,62843
Laksana Tamba S.Ked,Zahra Rahmawati,5984,62852
Laksana Wasita,Ghaliyati Astuti S.Pt,5985,62870
Laksana Waskita,Vicky Nasyiah,5986,62887
Lamar Bahuwirya Mansur,Sari Clara Purnawati,5987,62899
Lamar Cakrabirawa Budiyanto,Laras Novitasari,5988,62913
Lamar Dabukke,Jelita Sabrina Mandasari,5989,62925
Lamar Dongoran M.Farm,Rina Melani,5990,62944
Lamar Hakim,Raina Siska Nuraini,5991,62946
Lamar Hutapea,Septi Rahayu,5992,62949
Lamar Irawan,Jasmin Zizi Rahmawati,5993,62951
Lamar Irfan Kusumo S.Gz,Paris Yuliarti,5994,62957
Lamar Januar,Tira Syahrini Utami M.TI.,5995,62961
Lamar Jarwi Hutasoit M.Kom.,Hasna Lailasari,5996,62964
Lamar Karsana Siregar S.I.Kom,Cinthia Wulandari,5997,62968
Lamar Kurniawan,Ophelia Lestari S.T.,5998,62973
Lamar Kusumo,Jane Rahimah,5999,62990
Lamar Marbun,Ika Wijayanti,6000,63002
Lamar Marpaung,Salimah Iriana Nasyiah S.Pt,6001,63018
Lamar Mustofa Pratama S.Pd,Mila Yuniar,6002,63029
Lamar Pandu Gunarto S.Gz,Calista Iriana Wahyuni S.Ked,6003,63034
Lamar Permadi,Ella Rini Wahyuni,6004,63035
Lamar Suryono,Salsabila Hariyah,6005,63036
Lamar Utama,Halima Palastri,6006,63054
Lamar Waluyo,Gina Wijayanti,6007,63065
Lamar Wibowo,Irma Hasanah S.Sos,6008,63067
Lanang Budiyanto,Raisa Lailasari,6009,63086
Lanang Firgantoro M.Ak,Oliva Zulaika,6010,63103
Lanang Firmansyah,Devi Kani Agustina M.Pd,6011,63122
Lanang Gaiman Sitorus S.Gz,Suci Melani,6012,63133
Lanang Gaman Saptono S.Ked,Aisyah Dinda Purnawati M.TI.,6013,63152
Lanang Iswahyudi M.TI.,Lili Farhunnisa Rahimah S.Pt,6014,63165
Lanang Joko Mustofa S.Pt,Zulfa Devi Rahayu,6015,63173
Lanang Lamar Hakim M.M.,Calista Safina Nasyiah,6016,63176
Lanang Lazuardi,Wirda Winarsih,6017,63177
Lanang Mahendra S.Pd,Ophelia Permata M.Kom.,6018,63193
Lanang Mangunsong,Dewi Nasyidah,6019,63198
Lanang Maryadi,Laila Syahrini Handayani S.Pd,6020,63211
Lanang Muhammad Tampubolon S.Gz,Olivia Yuni Laksmiwati,6021,63215
Lanang Nainggolan,Nadine Oliva Hartati,6022,63231
Lanang Natsir,Nabila Sudiati,6023,63247
Lanang Prabowo,Rika Yulianti,6024,63250
Lanang Prabu Gunawan,Puji Laksita,6025,63254
Lanang Pradana,Humaira Yuniar,6026,63256
Lanang Pradipta,Yance Kamaria Suartini,6027,63261
Lanang Putra,Puji Mayasari,6028,63273
Lanang Sihotang,Victoria Ratih Sudiati,6029,63274
Lanang Sinaga,Lidya Astuti M.Ak,6030,63282
Lanang Yosef Najmudin S.Psi,Uli Andriani,6031,63300
Langgeng Adriansyah,Winda Usada,6032,63311
Langgeng Anggriawan,Salimah Kamaria Farida,6033,63318
Langgeng Ardianto,Wulan Namaga,6034,63332
Langgeng Budiyanto S.Pt,Devi Aryani,6035,63335
Langgeng Gunarto,Pia Winarsih S.Kom,6036,63353
Langgeng Habibi M.Pd,Oni Sudiati S.I.Kom,6037,63366
Langgeng Hutagalung,Siti Maya Melani S.Kom,6038,63377
Langgeng Karma Rajata,Diana Carla Susanti,6039,63387
Langgeng Kusumo M.Kom.,Restu Nasyiah,6040,63396
Langgeng Malik Adriansyah,Ophelia Jasmin Pudjiastuti,6041,63414
Langgeng Mansur,Agnes Mulyani,6042,63420
Langgeng Manullang,Belinda Puspita S.Kom,6043,63434
Langgeng Muni Iswahyudi S.Ked,Dewi Zelda Yolanda S.E.,6044,63449
Langgeng Natsir,Humaira Eka Maryati,6045,63460
Langgeng Parman Winarno,Kamila Hastuti,6046,63466
Langgeng Prakasa S.Kom,Ayu Yulianti,6047,63483
Langgeng Prasetyo,Puput Pertiwi S.Psi,6048,63502
Langgeng Prasetyo S.Psi,Safina Pratiwi,6049,63519
Langgeng Prayoga,Jessica Winarsih,6050,63527
Langgeng Purwadi Widodo,Salsabila Oktaviani,6051,63542
Langgeng Raden Prasetyo,Carla Halima Hasanah S.Ked,6052,63549
Langgeng Rahmat Habibi S.Ked,Cici Palastri,6053,63552
Langgeng Setiawan M.Ak,Lintang Yuniar,6054,63568
Langgeng Sihombing,Sakura Zulaika,6055,63579
Langgeng Siregar,Syahrini Riyanti,6056,63596
Langgeng Suryono,Amalia Ophelia Padmasari M.Farm,6057,63603
Langgeng Tarihoran S.Kom,Carla Indah Mandasari S.Pd,6058,63623
Langgeng Wage Sihombing,Ella Pertiwi S.Sos,6059,63643
Langgeng Waluyo,Silvia Palastri,6060,63663
Langgeng Wira Santoso S.Farm,Silvia Ellis Puspita,6061,63673
Lanjar Anggriawan,Dina Palastri S.T.,6062,63681
Lanjar Budiman,Nabila Nasyidah S.I.Kom,6063,63698
Lanjar Dimas Sihotang,Aisyah Puspita,6064,63718
Lanjar Erik Pratama,Nabila Irma Laksmiwati,6065,63722
Lanjar Hidayat M.Farm,Keisha Yolanda,6066,63733
Lanjar Hidayat M.Kom.,Raisa Samiah Hasanah,6067,63737
Lanjar Hutapea M.Kom.,Sabrina Zulaika,6068,63738
Lanjar Iswahyudi,Septi Yuni Laksita M.M.,6069,63744
Lanjar Iswahyudi M.Pd,Diah Ifa Hasanah,6070,63748
Lanjar Kuswoyo,Anita Purnawati S.Psi,6071,63753
Lanjar Luhung Pradana S.Kom,Uchita Nasyidah S.Pt,6072,63757
Lanjar Mangunsong M.Pd,Bella Sakura Laksita S.Gz,6073,63766
Lanjar Manullang,Patricia Halimah S.Sos,6074,63784
Lanjar Prasasta,Dina Halimah,6075,63803
Lanjar Rahmat Hakim S.Gz,Suci Usamah,6076,63807
Lanjar Santoso,Nadine Permata M.Pd,6077,63822
Lanjar Simbolon,Vanya Lestari,6078,63842
Lanjar Sitompul M.Ak,Ciaobella Zaenab Permata S.Ked,6079,63846
Lanjar Sitorus,Puput Safitri,6080,63860
Lanjar Suryono S.Pd,Zelaya Susanti,6081,63876
Lanjar Tarihoran,Rahmi Yolanda,6082,63892
Lanjar Uwais,Laras Puspasari,6083,63896
Lanjar Waskita,Raisa Syahrini Novitasari S.IP,6084,63904
Lantar Arta Pradana M.M.,Olivia Sudiati,6085,63920
Lantar Budiyanto,Elvina Ratna Suryatmi S.Kom,6086,63930
Lantar Cahyadi Tampubolon,Qori Ida Winarsih S.Pd,6087,63944
Lantar Cemeti Haryanto S.IP,Zamira Maya Yuliarti S.Ked,6088,63956
Lantar Daliman Nababan,Tami Mulyani S.IP,6089,63960
Lantar Eka Sinaga,Bella Nuraini,6090,63967
Lantar Galiono Haryanto S.Psi,Ami Winarsih,6091,63974
Lantar Hakim,Syahrini Ami Kuswandari,6092,63975
Lantar Halim,Elma Halimah,6093,63994
Lantar Hardiansyah,Paulin Hartati S.Sos,6094,63996
Lantar Hartaka Latupono,Fathonah Pudjiastuti,6095,64000
Lantar Hidayanto,Rika Mandasari,6096,64002
Lantar Irawan,Jasmin Kuswandari,6097,64011
Lantar Iswahyudi,Pia Kani Wijayanti,6098,64012
Lantar Jaya Saptono M.Ak,Chelsea Nadine Winarsih M.Ak,6099,64017
Lantar Mangunsong,Victoria Yulianti,6100,64028
Lantar Nashiruddin M.Kom.,Endah Padmasari,6101,64048
Lantar Prabowo,Wulan Mila Yulianti S.IP,6102,64057
Lantar Pradana S.Kom,Gina Kezia Puspasari,6103,64070
Lantar Prakasa,Calista Chelsea Mardhiyah,6104,64071
Lantar Setiawan,Safina Melani,6105,64073
Lantar Simbolon S.Ked,Silvia Padmasari,6106,64082
Lantar Tampubolon,Eli Mardhiyah,6107,64092
Lantar Waskita,Mutia Nurdiyanti,6108,64093
Lasmanto Bakidin Prasetyo,Olivia Haryanti,6109,64107
Lasmanto Damanik S.Pd,Anastasia Ulya Hasanah,6110,64108
Lasmanto Gamani Nashiruddin S.Pd,Zelda Hani Rahayu S.E.I,6111,64127
Lasmanto Hakim M.Ak,Irma Hastuti S.E.I,6112,64133
Lasmanto Halim,Jasmin Natalia Hastuti M.Farm,6113,64139
Lasmanto Hardiansyah,Victoria Salwa Safitri S.Psi,6114,64140
Lasmanto Harja Latupono,Ani Usamah S.Psi,6115,64153
Lasmanto Kurniawan,Gasti Nurul Hasanah,6116,64170
Lasmanto Pardi Pratama S.T.,Febi Puput Widiastuti S.Kom,6117,64171
Lasmanto Sihombing,Jelita Mayasari S.T.,6118,64179
Lasmanto Sirait,Devi Hastuti,6119,64187
Lasmanto Suryono,Siska Melani,6120,64203
Lasmanto Wahyudin,Zizi Yolanda,6121,64221
Lasmanto Waluyo,Azalea Mardhiyah,6122,64230
Lasmono Gunarto M.Pd,Elvina Laksita M.TI.,6123,64245
Lasmono Hardiansyah M.Kom.,Eka Permata M.Farm,6124,64263
Lasmono Hardiansyah M.TI.,Febi Ifa Permata,6125,64274
Lasmono Jailani,Fitria Novitasari M.M.,6126,64286
Lasmono Kayun Januar S.H.,Lalita Hassanah,6127,64288
Lasmono Kurniawan,Ella Padmasari,6128,64302
Lasmono Mustofa,Eva Oktaviani,6129,64306
Lasmono Najmudin,Kiandra Jelita Yolanda,6130,64324
Lasmono Pradana,Vanya Hassanah,6131,64341
Lasmono Simanjuntak,Tania Rachel Rahimah M.Farm,6132,64346
Lasmono Sinaga,Calista Agustina,6133,64356
Lasmono Tarihoran,Oni Wulandari,6134,64366
Lasmono Wardaya Pradipta,Safina Mandasari,6135,64370
Lasmono Wibisono S.Pd,Ella Namaga,6136,64386
Lasmono Wibowo,Jelita Laksita,6137,64387
Lasmono Zulkarnain,Novi Mardhiyah,6138,64401
Laswi Haryanto,Zaenab Hartati S.IP,6139,64407
Laswi Hutasoit S.Kom,Lala Puspita,6140,64422
Laswi Irawan,Genta Fujiati,6141,64429
Laswi Mahfud Wijaya M.TI.,Maria Lestari,6142,64434
Laswi Maryadi,Michelle Nadia Astuti S.Ked,6143,64437
Laswi Mulya Haryanto,Keisha Sudiati,6144,64443
Laswi Muni Prakasa,Padmi Hassanah S.Farm,6145,64454
Laswi Permadi,Fitriani Lailasari,6146,64467
Laswi Prayoga,Irma Maryati,6147,64483
Laswi Prayoga S.Psi,Ratih Latika Pudjiastuti S.Sos,6148,64496
Laswi Sihombing,Lili Wahyuni S.H.,6149,64510
Laswi Sihombing S.I.Kom,Kani Nuraini,6150,64514
Laswi Sitompul S.Farm,Paulin Haryanti,6151,64534
Latif Budiyanto S.E.,Pia Rahmawati,6152,64539
Latif Dirja Pranowo S.I.Kom,Cindy Pratiwi,6153,64543
Latif Hutagalung M.Farm,Bella Puspasari,6154,64560
Latif Narpati,Padma Andriani,6155,64578
Latif Pradipta,Kartika Wahyuni,6156,64586
Latif Putra,Puji Hastuti S.T.,6157,64595
Latif Rahman Ardianto M.Kom.,Ida Puspa Yuniar S.Pd,6158,64606
Latif Rajasa,Siti Puspita,6159,64608
Latif Rama Saptono S.I.Kom,Sabrina Wulan Puspasari S.IP,6160,64615
Latif Sihombing,Kezia Pratiwi,6161,64619
Latif Sihotang,Yunita Kuswandari,6162,64623
Latif Simbolon,Ifa Mayasari,6163,64629
Latif Suwarno M.Farm,Kania Hastuti,6164,64631
Latif Waluyo,Tira Usada,6165,64650
Lega Ade Wijaya S.E.I,Yunita Namaga,6166,64664
Lega Ajiman Firgantoro,Ratih Yuliana Uyainah S.Pd,6167,64676
Lega Dabukke,Maida Purnawati,6168,64691
Lega Daniswara Nababan,Septi Nuraini,6169,64707
Lega Gunawan S.H.,Ira Astuti,6170,64718
Lega Hasim Hidayanto M.Kom.,Puti Wahyuni,6171,64735
Lega Lembah Adriansyah,Yuliana Ade Suryatmi,6172,64750
Lega Lurhur Habibi,Rachel Nilam Wulandari S.Pt,6173,64763
Lega Mandala,Rika Yuniar,6174,64771
Lega Nababan,Zelaya Kuswandari,6175,64779
Lega Nainggolan,Puput Sudiati M.TI.,6176,64794
Lega Nashiruddin,Hamima Yessi Pertiwi M.M.,6177,64813
Lega Nugroho,Mala Yance Lailasari,6178,64824
Lega Nugroho S.Pd,Kamila Dewi Riyanti S.H.,6179,64834
Lega Prabowo Hutagalung M.M.,Ajeng Tari Suryatmi S.E.,6180,64850
Lega Radit Sihombing,Cici Halimah,6181,64865
Lega Rajata,Cindy Halimah,6182,64881
Lega Salahudin M.TI.,Icha Yulianti,6183,64884
Lega Saptono,Juli Laksmiwati M.Kom.,6184,64898
Lega Simbolon,Victoria Icha Purnawati,6185,64913
Lega Siregar,Icha Yolanda,6186,64925
Lega Thamrin,Betania Pratiwi,6187,64928
Lega Umar Hidayanto S.E.,Siti Eli Padmasari S.H.,6188,64933
Lega Wacana,Ella Kusmawati S.Pt,6189,64938
Lega Wasita,Cici Purnawati,6190,64953
Lega Wijaya,Yulia Elma Purwanti M.Farm,6191,64969
Legawa Arsipatra Najmudin,Vicky Nuraini,6192,64973
Legawa Atma Budiyanto M.M.,Paris Nasyidah,6193,64981
Legawa Budiyanto,Sabrina Kezia Yolanda,6194,64994
Legawa Cahya Najmudin,Ilsa Widiastuti,6195,65004
Legawa Cawisono Permadi,Cinta Kusmawati,6196,65019
Legawa Dirja Saefullah,Karimah Novitasari,6197,65024
Legawa Edi Uwais,Novi Pratiwi,6198,65042
Legawa Hutapea,Eli Padmasari,6199,65052
Legawa Jarwadi Siregar S.Pt,Janet Purwanti S.E.,6200,65071
Legawa Kusumo S.Pd,Tiara Haryanti,6201,65072
Legawa Mandala,Yessi Maryati,6202,65075
Legawa Mulyanto Haryanto S.IP,Sabrina Prastuti S.Psi,6203,65085
Legawa Naradi Halim,Paulin Wastuti,6204,65095
Legawa Perkasa Halim S.I.Kom,Laila Gabriella Kuswandari S.Ked,6205,65109
Legawa Prasetya M.TI.,Rika Mayasari,6206,65120
Legawa Pratama M.Pd,Widya Kezia Andriani,6207,65134
Legawa Siregar M.Farm,Eli Farida,6208,65147
Legawa Slamet Hidayanto M.Pd,Putri Uyainah,6209,65166
Legawa Suryono,Latika Violet Puspasari,6210,65168
Legawa Tamba M.Ak,Tami Hastuti,6211,65177
Legawa Waskita,Pia Hastuti,6212,65187
Legawa Widodo,Zahra Padmasari,6213,65205
Legawa Zulkarnain,Julia Namaga S.IP,6214,65207
Lembah Damanik S.Psi,Violet Pratiwi,6215,65225
Lembah Estiawan Saputra,Shakila Farida,6216,65241
Lembah Firmansyah M.Kom.,Malika Riyanti,6217,65253
Lembah Gambira Winarno,Tantri Yuniar S.Pt,6218,65255
Lembah Gatot Saefullah M.Ak,Safina Suartini,6219,65262
Lembah Gunarto,Raina Yulianti,6220,65266
Lembah Habibi M.M.,Yessi Handayani,6221,65270
Lembah Hendra Prasasta S.IP,Nadia Kania Riyanti M.Ak,6222,65286
Lembah Ikin Dongoran S.Ked,Amalia Pia Usada,6223,65296
Lembah Latif Dongoran S.H.,Elisa Andriani M.TI.,6224,65305
Lembah Mahendra,Natalia Maimunah Laksmiwati,6225,65314
Lembah Margana Waluyo S.I.Kom,Hani Mardhiyah M.Pd,6226,65317
Lembah Napitupulu,Titin Wastuti,6227,65327
Lembah Prabowo M.Farm,Ghaliyati Rahmawati,6228,65334
Lembah Pradipta,Febi Suryatmi,6229,65345
Lembah Prasasta M.M.,Ophelia Sudiati,6230,65358
Lembah Rajata,Julia Yolanda,6231,65359
Lembah Saefullah,Melinda Yuliana Sudiati,6232,65360
Lembah Simanjuntak,Ophelia Farida,6233,65365
Lembah Sinaga,Fitriani Kamaria Safitri,6234,65384
Lembah Sitompul,Mutia Namaga,6235,65398
Lembah Tampubolon,Michelle Titi Rahimah M.Farm,6236,65400
Lembah Teguh Tampubolon,Wani Maryati,6237,65407
Lembah Waluyo Hardiansyah,Laras Ratna Rahimah,6238,65420
Lembah Widodo S.Pd,Paris Hassanah,6239,65431
Leo Agus Hidayanto S.Pd,Anastasia Kusmawati,6240,65449
